Name,ID,Iterations,Status,Ordering,Edges,SpanningTree,Time
sff_2D_dense,0,100000,unsolved,[2],[],1e+08,0.0170944
sff_2D_dense,0,100000,unsolved,[2],[],1e+08,0.0266219
sff_2D_dense,0,100000,unsolved,[2],[],1e+08,0.0364881
SFF*,0,20,solved,[0;3;2;1],[81.3839;37.189;118.573;47.3247;128.709;84.5137],165.898,0.000638
SFF*,0,35,solved,[0;4;3;2;1],[66.9781;61.4851;128.463;143.364;210.342;204.849;56.2469;123.225;117.732;105.778],290.488,0.0069915
SFF*,0,119,solved,[0;4;3;2;1],[66.9781;110.996;44.0175;143.364;191.492;235.51;56.2469;123.225;167.242;105.778],273.021,0.0192339
SFF*,0,61,solved,[0;3;4;2;1],[61.4851;105.503;44.0175;143.364;204.849;248.867;56.2469;117.732;161.75;199.611],305.114,0.0083367
SFF*,0,120,solved,[0;4;3;2;1],[70.8378;65.6783;136.516;36.3685;107.206;102.047;35.154;105.992;100.832;71.5225],208.039,0.0016098
SFF*,0,50,solved,[0;4;3;2;1],[70.8378;65.6783;136.516;36.3685;107.206;102.047;35.154;105.992;100.832;71.5225],208.039,0.0004777
SFF*,0,75,solved,[0;4;3;2;1],[70.8378;65.6783;136.516;36.3685;107.206;102.047;35.154;105.992;100.832;71.5225],208.039,0.0014033
SFF*,0,190489,solved,[0;3;2;1],[7.83849;8.80868;3.79154;6.8405;4.47224;5.74455],15.1043,20.0002
SFF*,0,188616,solved,[0;3;2;1],[8.61038;8.74504;3.62423;6.81876;4.60213;6.07225],15.0451,20.0002
SFF*,0,166808,solved,[0;3;2;1],[8.38993;8.80413;3.88026;7.31292;4.7341;5.66733],15.9273,20.0006
SFF*,0,81317,unsolved,[17],[],1e+08,40.0008
SFF*,0,74826,unsolved,[18],[],1e+08,40.001
SFF*,0,60913,unsolved,[8],[],1e+08,20
SFF*,0,62974,unsolved,[8],[],1e+08,20.0002
SFF*,0,63019,unsolved,[8],[],1e+08,20.0005
SFF*,0,59980,unsolved,[8],[],1e+08,20.0003
SFF*,0,330089,solved,[0;8;5;9;6;4;7;3;2;1],[21.7814;58.3258;55.5809;68.9332;63.3769;10.6074;89.3568;83.8005;31.031;20.4237;68.5191;90.3005;98.4383;109.046;129.469;101.762;123.543;71.6328;72.646;85.2442;65.8372;60.7991;55.2427;2.47325;8.13413;28.5578;100.912;74.1061;99.4661;121.247;66.6679;67.6811;80.3009;62.6799;4.96492;69.1412;51.7187;73.5001;23.3552;33.9626;54.3862;75.0831;50.0475;25.8284;47.7966],243.328,10.7375
SFF*,0,332792,solved,[0;8;6;9;3;7;5;2;1;4],[22.6248;99.8453;77.2206;86.6429;64.0182;20.6918;79.6269;57.0022;28.9765;8.39037;130.702;108.077;83.9034;70.6805;69.0928;77.2765;54.6517;26.626;9.36648;2.35048;71.4433;135.668;113.043;78.9377;75.6463;74.0586;4.96574;76.409;80.6126;57.9878;49.851;31.6153;23.225;50.0893;23.225;55.055;73.8305;92.4536;123.481;105.245;96.8549;65.6553;96.8549;70.6211;73.7635],252.644,10.9372
SFF*,0,78129,unsolved,[18],[],1e+08,40.0016
SFF*,0,66265,unsolved,[18],[],1e+08,40.0003
SFF*,0,99862,unsolved,[3;5],[224.853],1e+08,40.0006
SFF*,0,104292,unsolved,[7],[],1e+08,40.0008
SFF*,0,198470,solved,[0;5;4;3;2;1],[433.074;175.344;268.222;648.609;217.776;473.868;539.561;262.613;365.486;267.448;196.923;354.266;189.724;571.212;555.21],1113.68,60.0002
SFF*,0,234269,solved,[0;5;4;3;2;1],[428.271;174.803;270.3;645.61;217.339;477.266;536.827;263.878;363.544;266.75;203.266;352.629;190.644;569.968;552.275],1116.96,60.0006
SFF*,0,334051,solved,[0;4;3;2;1],[177.931;620.62;473.118;519.605;363.236;268.963;198.9;191.77;567.946;529.402],1001.9,100
SFF*,0,452561,solved,[0;4;3;2;1],[176.279;619.494;470.395;522.864;363.193;266.993;202.508;186.871;566.512;531.278],993.337,100.001
SFF*,0,100680,unsolved,[8],[],1e+08,40.0003
SFF*,0,100210,unsolved,[8],[],1e+08,40.0005
SFF*,0,182656,solved,[0;9;8;7;6;5;4;3;2;1],[6.90757;8.9213;10.0558;7.9519;10.2254;4.22614;4.73179;9.37655;7.96847;9.17199;11.1156;11.1074;6.83479;4.14575;12.8464;7.43585;10.4593;4.44379;6.51017;4.50907;10.2092;10.0393;13.9074;6.36235;8.02498;6.65357;11.5758;3.90506;8.89778;9.69982;4.34388;3.07403;10.4401;3.28997;7.80573;9.47262;10.4536;10.5726;8.18413;4.32732;12.2512;1.94962;10.5221;12.3523;3.98601],37.037,40
SFF*,0,192495,solved,[0;9;8;7;6;5;4;3;2;1],[6.75152;8.80699;10.607;7.54155;10.1919;4.57874;5.20017;9.50857;8.20032;9.03906;10.7478;11.6369;6.90011;4.1113;12.6819;7.34518;10.6791;4.52776;6.61762;4.74979;10.2356;9.41999;14.0266;6.42164;7.62875;6.95111;11.3082;3.72089;10.0367;9.66127;4.18638;2.88557;10.5053;3.0316;7.70791;9.45402;9.97188;10.5768;8.09958;4.51809;12.8549;2.19003;10.6979;12.1468;4.11097],37.2437,40.001
SFF*,0,165309,solved,[0;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1],[8.31688;2.48007;8.47554;5.79808;8.6985;8.06024;9.47896;3.82496;10.4467;10.0077;10.3323;4.46766;10.229;11.5283;1.59261;10.2261;10.0254;11.362;10.1174;6.53504;8.12765;9.53721;6.20762;9.35226;11.9889;4.05157;3.15045;9.27495;5.90915;5.90853;7.23234;3.15396;7.53895;8.49224;9.1772;10.0124;6.95031;8.19797;5.61035;11.7512;6.67592;7.38427;10.3535;5.07661;10.2183;8.62023;2.75559;8.51692;9.81627;2.41413;1.71207;8.62277;3.45203;7.46114;6.27215;7.01732;8.24744;9.34615;2.04054;9.86212;10.8187;10.6347;12.2568;2.74112;12.2773;9.94881;9.87878;9.81943;9.95704;9.91674;7.82265;8.49429;2.6112;8.4028;9.22312;8.99359;8.16427;10.5497;7.47146;6.33274;8.04307;9.53659;3.40636;4.49792;5.22386;4.28821;8.01382;5.12967;4.29796;9.6838;4.48822;4.94993;12.113;7.39454;8.05902;11.898;12.9645;10.1696;12.0765;9.32255;7.80421;11.2524;9.81572;8.70618;9.33411;10.7111;5.63209;12.1853;11.6176;2.72064;2.62002;6.91616;4.57311;9.66791;8.19842;4.33209;11.3626;7.25148;4.14222;13.4763;8.96593;11.8843;8.13859;9.8253;9.83613;10.7564;6.49278;10.1324;10.315;10.3637;10.2983;11.0321;4.36977;6.42977;4.79865;10.383;10.8022;13.773;10.3197;12.8025;11.047;11.6127;8.72529;10.5757;13.5292;7.34693;12.2062;14.3172;6.22424;7.9082;7.25828;11.3001;3.87635;9.67156;7.43023;10.9836;9.53759;3.60527;4.43004;3.81015;6.98645;9.42664;7.8417;6.0194;9.3995;4.21738;2.94054;11.1791;3.10602;7.64944;9.49255;10.5831;3.88595;10.911;11.5319;1.52419;1.63993;7.03757;4.51193;9.06314;7.86365;2.73872;10.7916;7.75604;4.93055;13.4221;1.74614;10.9321;12.0535;3.98736],61.0801,60.0017
SFF*,0,144693,solved,[0;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1],[8.26757;2.27058;8.15946;5.51107;8.68805;7.78166;9.14753;4.35156;9.0019;10.3398;10.1947;4.41996;9.93052;11.0802;2.22711;11.8986;9.56452;12.4781;9.41536;6.75056;8.65448;9.38324;6.08524;8.79131;13.3909;3.82617;3.29229;9.74106;5.7027;6.0459;7.55373;3.30083;8.3396;8.33628;8.4898;10.6872;6.4857;8.5331;5.38865;11.6804;6.36989;6.95343;10.6472;5.02883;9.61152;8.5203;2.76989;8.30607;10.0756;4.0866;1.8595;10.514;3.31535;7.77383;6.04343;6.96064;8.38601;9.23122;1.91366;10.5086;11.0207;9.64276;13.3403;2.68447;12.2184;10.1871;9.33877;9.55748;11.0389;9.25997;7.09774;8.83436;2.55988;8.53233;10.5365;8.83136;8.51871;10.1615;8.163;6.28978;9.7896;9.84457;3.24491;4.99097;5.86831;4.71633;8.87439;5.02463;5.41132;11.1913;4.95598;5.05733;12.0696;5.70182;7.90173;11.4418;12.5057;10.0285;12.7466;9.14061;8.01157;11.532;9.63679;7.92681;9.6541;11.5484;5.87663;11.4028;12.4098;2.40089;2.47574;6.35064;4.55821;10.0096;7.68669;4.33524;12.6941;7.10781;4.23299;12.7754;7.70597;12.0852;8.61091;9.9552;9.28733;10.5962;6.84901;10.316;9.77103;7.77595;10.3527;11.3956;4.46028;6.59888;4.53375;10.3512;9.14236;14.227;10.7095;12.5016;10.8549;12.2052;8.72065;10.5187;12.9752;7.74927;13.3486;13.993;6.22814;7.93723;6.80487;10.9745;3.71067;11.1234;6.24766;10.2999;11.4984;3.24531;4.88586;3.76862;7.07148;8.19758;7.98504;6.74536;9.75963;4.50919;2.9604;10.4714;3.37902;7.63145;9.5307;10.7609;3.68195;10.6152;10.7685;1.61334;1.78624;7.74878;4.62634;7.81497;7.7089;2.80966;10.4994;8.48935;4.8473;12.6537;2.19468;10.9003;11.9306;3.98016],61.2162,60.001
SFF*,0,379563,unsolved,[1;4],[30.2922],1e+08,60.0002
SFF*,0,408772,unsolved,[1;4;3],[30.4741;117.369;86.8948],1e+08,60.0002
SFF*,0,445318,solved,[0;3;1;2],[112.451;207.142;94.6913;249.406;148.279;242.054],355.422,60.0004
SFF*,0,493663,solved,[0;3;2;1],[113.322;259.109;146.867;147.366;95.2019;240.486],355.391,60.0006
SFF*,0,413657,solved,[0;8;4;3;9;6;7;5;2;1],[21.6999;14.4752;17.2655;38.7067;60.4066;49.5308;9.16791;30.8678;18.7885;33.7491;46.9304;68.6303;54.5697;8.22367;40.1518;7.02744;22.7522;7.44778;45.0898;11.3408;47.1219;5.47244;27.1723;19.9477;33.2343;6.68283;41.458;12.4999;8.48298;17.4832;9.19934;47.1897;16.6097;52.3909;5.26895;13.9554;4.28797;25.9878;16.093;37.8181;4.87994;45.0318;8.64526;4.58382;12.771],92.2194,16.3275
SFF*,0,411185,solved,[0;8;6;9;3;7;5;4;2;1],[21.0518;43.7779;50.0791;8.92939;28.8659;40.0076;52.2917;41.6682;8.51382;48.5215;7.70315;24.6782;48.0047;13.1562;53.971;5.68894;23.1934;40.4681;5.67866;48.9819;12.2825;13.846;17.3273;55.1339;20.5071;46.6201;7.35092;19.535;7.62077;26.0717;51.3987;16.5502;55.3645;5.31066;13.3097;8.74438;4.1628;25.2146;39.6151;4.76659;48.1289;8.38962;3.89285;15.7405;11.7836],98.5608,16.6191
SFF*,0,407869,solved,[0;7;4;8;6;3;9;5;2;1],[7.30727;15.4449;8.31526;24.4322;22.6386;16.711;51.3381;52.4222;55.1485;48.9097;42.874;43.958;46.6844;43.3792;8.46413;9.06032;14.8806;20.2229;33.2657;42.2778;33.8137;5.27669;12.584;18.4133;27.4006;48.1428;39.6787;5.86503;7.25606;5.46245;8.18881;17.1761;46.9597;38.5136;16.0895;10.2245;4.41649;10.2368;15.579;28.8487;46.9216;38.4575;4.64383;4.45657;11.6725],93.413,14.9098
